,name,price,region,power,volume,transmission,wheel_drive
806,  JAC J7 2021  ,    15 723 $    ,Дніпро (Дніпропетровськ) ,150.0,1.5,Механічна,Передній
807,  Hyundai Tucson 2022  ,    36 910 $    ,Вінниця ,136.0,1.6,Роботизована,Повний
808,  Hyundai H 350 пасс. 2021  ,    44 878 $    ,Вінниця ,170.0,2.5,Механічна,
809,  Renault Express Van 2021  ,    13 773 $    ,Луцьк ,110.0,1.6,Механічна,Передній
810,  Volkswagen Golf 2021  ,    38 430 $    ,Львів ,245.0,2.0,Автомат,Передній
811,  Renault Duster 2022  ,    16 599 $    ,Луцьк ,115.0,1.6,Механічна,Повний
812,  Volkswagen T-Roc 2021  ,    29 494 $    ,Львів ,150.0,1.5,Автомат,Передній
813,  Citroen C3 2021  ,    20 460 $    ,Івано-Франківськ ,110.0,1.2,Автомат,Передній
814,  Toyota Land Cruiser 300 2021  ,    78 049 $    ,Львів ,415.0,3.5,Автомат,Повний
815,  Mercedes-Benz GLE-Class 2021  ,    94 570 $    ,Черкаси ,272.0,,Автомат,Повний
816,  Hyundai Venue 2021  ,    23 584 $    ,Вінниця ,123.0,1.6,Автомат,Передній
817,  Alfa Romeo Giulia 2021  ,    46 390 $    ,Дніпро (Дніпропетровськ) ,200.0,2.0,Автомат,
818,  Fiat Doblo пасс. 2021  ,    19 220 $    ,Дніпро (Дніпропетровськ) ,105.0,1.6,Механічна,Передній
819,  Volkswagen T-Cross 2021  ,    24 173 $    ,Львів ,115.0,1.0,Автомат,Передній
820,  Ford Kuga 2021  ,    37 828 $    ,Одеса ,182.0,1.5,Автомат,Повний
821,  Nissan Qashqai 2022  ,    31 318 $    ,Київ ,150.0,1.3,Варіатор,Передній
822,  Mercedes-Benz E-Class 2021  ,    70 509 $    ,Львів ,194.0,,Автомат,Повний
823,  Nissan X-Trail 2021  ,    28 761 $    ,Рівне ,130.0,1.6,Варіатор,Передній
824,  Alfa Romeo Giulia 2021  ,    54 318 $    ,Дніпро (Дніпропетровськ) ,280.0,2.0,Автомат,Повний
825,  Mercedes-Benz GLE-Class 2021  ,    83 282 $    ,Львів ,245.0,,Автомат,Повний
826,  Renault Megane 2021  ,    24 543 $    ,Луцьк ,115.0,1.6,Варіатор,Передній
827,  Hyundai Tucson 2022  ,    33 603 $    ,Рівне ,136.0,1.6,Роботизована,Передній
828,  Honda CR-V 2021  ,    44 503 $    ,Дніпро (Дніпропетровськ) ,184.0,2.0,Варіатор,Повний
829,  MG HS 2021  ,    25 107 $    ,Одеса ,169.0,1.5,Автомат,Передній
830,  Fiat Doblo пасс. 2021  ,    19 220 $    ,Дніпро (Дніпропетровськ) ,105.0,1.6,Механічна,Передній
831,  Hyundai Venue 2021  ,    22 900 $    ,Вінниця ,123.0,1.6,Автомат,Передній
832,  Hyundai Kona 2021  ,    21 325 $    ,Вінниця ,198.0,1.6,Автомат,Передній
833,  Renault Arkana 2021  ,    18 261 $    ,Луцьк ,114.0,1.6,Механічна,Передній
834,  Opel Mokka 2022  ,    22 201 $    ,Івано-Франківськ ,100.0,1.2,Механічна,Передній
835,  Mitsubishi Outlander 2021  ,    29 496 $    ,Львів ,167.0,2.4,Варіатор,Повний
836,  Opel Mokka 2021  ,    26 515 $    ,Івано-Франківськ ,130.0,1.2,Автомат,Передній
837,  Skoda Karoq 2022  ,    28 150 $    ,Одеса ,150.0,1.4,Автомат,Передній
838,  Audi Q3 Sportback 2021  ,    63 121 $    ,Запоріжжя ,180.0,,Автомат,Повний
839,  Mitsubishi Pajero Sport 2021  ,    43 872 $    ,Запоріжжя ,181.0,2.4,Автомат,Повний
840,  Volkswagen T-Roc 2021  ,    29 772 $    ,Полтава ,150.0,1.5,Автомат,Передній
841,  Mercedes-Benz C-Class 2021  ,    54 279 $    ,Львів ,200.0,,Автомат,
842,  Peugeot 3008 2021  ,    41 993 $    ,Івано-Франківськ ,180.0,2.0,Автомат,Передній
843,  Honda Civic 2021  ,    22 288 $    ,Рівне ,125.0,1.6,Варіатор,Передній
844,  Nissan Leaf 2021  ,    30 979 $    ,Київ ,150.0,,,Передній
845,  Volkswagen T-Cross 2021  ,    27 992 $    ,Полтава ,115.0,1.0,Автомат,Передній
